project,file,line,uselib,libraries
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_befconfig.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_conduct_theme.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_data_generator_initiativestaging.go,1847,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_data_generator_progresscompletion.go,102,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_initiative.go,649,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_initiative_sponsor.go,55,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_initiative_staging.go,360,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_initiative_stakeholder.go,507,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_initiativemaster.go,298,true,"github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_lifecycle.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_mapcritically.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_master_mapping.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_master_region.go,18,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_principle_risk.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_product_assigment.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_risksubtype.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_scorecard.go,319,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_scorecard_category.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_scorecard_period.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_segment.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/facade/f_sponsor.go,22,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_data_generator.go,49,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_initiative.go,266,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_initiative_master.go,7922,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_initiative_sponsor.go,104,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_initiative_stakeholder.go,41,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_initiativestaging.go,99,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_master_region.go,28,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/api_scorecard.go,1648,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/base.go,959,true,"github.com/eaciit/dbox, github.com/eaciit/acl/v2.0, github.com/eaciit/dbox, github.com/eaciit/knot/knot.v1, github.com/eaciit/orm, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/dashboard.go,30,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/error.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/globalsearch.go,32,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/init.go,16,true,"github.com/eaciit/knot/knot.v1"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/login.go,54,true,"github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/logic/page.go,788,true,"github.com/eaciit/dbox, github.com/eaciit/knot/knot.v1, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_befconfig.go,33,false,""
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_conduct_theme.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_data_generator_initiativestaging.go,319,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_data_generator_progresscompletion.go,72,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative.go,516,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_sponsor.go,98,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_staging.go,220,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiative_stakeholder.go,830,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_initiativemaster.go,514,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_lifecycle.go,35,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_map_critically.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_master_region.go,37,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_mastermapping.go,35,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_principle_risk.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_product_assigment.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_risksubtype.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard.go,681,true,"github.com/eaciit/dbox, github.com/eaciit/toolkit"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_businessdriver.go,88,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_category.go,33,true,"github.com/eaciit/dbox"
eaciit/periscope,/Users/ariefdarmawan/Go/src/eaciit/periscope/apps/bef/controllers/query/q_scorecard_period.go,33,true,"github.com/eaciit/dbox"
